2026-03-16 17:54:48 | INFO     | gui.app | MainWindow initialised.
2026-03-16 17:59:25 | INFO     | gui.app | MainWindow initialised.
2026-03-16 18:10:31 | INFO     | gui.app | MainWindow initialised.
2026-03-16 18:10:46 | INFO     | src.scanner | Scanning desktop at: C:\Users\ideac\OneDrive\Desktop
2026-03-16 18:10:46 | INFO     | src.scanner | Scan complete. Found 46 items.
2026-03-16 18:10:48 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-03-16 18:10:48 | ERROR    | src.classifier | LLM API call failed: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CZ7XPrVEq8YHbPKvykkRt'}
2026-03-16 18:10:48 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-03-16 18:10:48 | ERROR    | src.classifier | LLM API call failed: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CZ7XPridRbZxPsbsd1nv6'}
2026-03-16 18:10:48 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-03-16 18:10:48 | ERROR    | src.classifier | LLM API call failed: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CZ7XPrw2gen2dEFgjS2B2'}
2026-03-16 18:10:48 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-03-16 18:10:48 | ERROR    | src.classifier | LLM API call failed: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CZ7XPs9vTSfTEeQwUYwGG'}
2026-03-16 18:10:48 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-03-16 18:10:48 | ERROR    | src.classifier | LLM API call failed: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CZ7XPsQ4NdMknrZ798ZB3'}
2026-03-16 18:10:48 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-03-16 18:10:48 | ERROR    | src.classifier | LLM API call failed: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CZ7XPschpEjSQ1stYJyuz'}
2026-03-16 18:10:48 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-03-16 18:10:48 | ERROR    | src.classifier | LLM API call failed: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CZ7XPssadCGeNrsL65LbR'}
2026-03-16 18:10:48 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-03-16 18:10:48 | ERROR    | src.classifier | LLM API call failed: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CZ7XPt5ypiGBcEvcYSGV4'}
2026-03-16 18:10:48 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-03-16 18:10:48 | ERROR    | src.classifier | LLM API call failed: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CZ7XPtJ8uCY3EdAuxpVv6'}
2026-03-16 18:10:48 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-03-16 18:10:48 | ERROR    | src.classifier | LLM API call failed: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CZ7XPtW3GFjkXPZujNYor'}
2026-03-16 18:10:48 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-03-16 18:10:48 | ERROR    | src.classifier | LLM API call failed: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CZ7XPtpPSZm4jukNzofiS'}
2026-03-16 18:10:48 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-03-16 18:10:48 | ERROR    | src.classifier | LLM API call failed: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CZ7XPuBxpUPx2VMcW4r1x'}
2026-03-16 18:10:48 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
